[-0.09481547698264048, 0.08945106558139515]
[0.03380324078636976, 0.06423878959281648]
[-0.1059309910560238, 0.2212054892171753]
[0.0841069437565416, 0.04748653806836978]
[-0.034290844974737, 0.2601077827240139]
[-0.04833191685947402, -0.0342991898130961]
[0.06387409078848005, 0.1223238706499632]
[0.07530270233212688, -0.02911624508445032]
[-0.013412968713519054, -0.021137777957786597]
[0.025450301655472574, -0.06448692884807117]
[-0.1660751471934324, -0.017220676699979176]
[-0.05439853676754269, 0.008609803337909838]
[-0.01535649231798622, 0.0340091127182911]
[-0.03846812810154976, -0.034407620696020214]
[0.05874972081549837, -0.056728872342082015]
[-0.036105657911253974, -0.04697214019131035]
[-0.029546016416494847, 0.11819897634473597]
[-0.053375442970574616, 0.16140364666644214]
[0.06135710539566397, -0.10305639292963864]
[-0.1387778867251248, 0.03989752298770055]
[0.20759312628980509, 0.04763816120902531]
[-0.09260352003491457, 0.03936213503874897]
[-0.05959014083168246, -0.07166184787866303]
[0.11505485618652733, 0.08083787220282712]
[-0.0156017670317522, -0.0127597431605031]
[0.05419371286010441, 0.19271675084096818]
[0.015717671300721325, -0.061808030770100775]
[-0.014854530314210052, 0.05405882077296775]
[-0.004210421635375328, 0.095293293545886]
[0.12973112966075284, -0.08468175472725381]
[-0.0362594382569732, 0.013823380379538008]
[0.13238927345812887, 0.04801151952889526]
[-0.00026648615945090715, 0.023798605130933903]
[0.06443702916770555, 0.027399633687277714]
[0.007548909495326828, 0.032908797519707766]
[-0.07504100490195775, -0.0979537470403179]
[0.00254049965874259, 0.07392702282794711]
[0.0030758897202748936, -0.038459475773959806]
[-0.02887970361428771, -0.08165410959441002]
[-0.06866351578524788, 0.0218054321917176]
[0.005879598536608022, 0.003059524181123069]
[-0.18303780702396932, -0.036922498957900785]
[-0.0016240133428888637, -0.012275415998533684]
[-0.11163726374056526, -0.12406905274880137]
[-0.010473943352018789, -0.027677306363556406]
[-0.003051190682252819, -0.03536203883704042]
[-0.011114165129164855, -0.07257590637622216]
[-0.016776379309779488, 0.09817140991748381]
[-0.026640366979283736, 0.028438437908378224]
[-0.0942939940979228, 0.0016045977168447356]
[-0.0210730032794626, 0.001460933384944331]
[-0.06839504970260507, 0.024637303841758523]
[0.0009429280782534688, 0.06831507412063131]
[0.09590886557331135, 0.07030783610051955]
[-0.0025723188384503826, 0.04859598322207593]
[0.0186552621795133, 0.10575628745623916]
[0.04380342790241054, 0.04163772562317335]
[-0.027030689076512182, 0.009817383697581457]
[0.08194998219081906, 0.015434566623666782]
[0.04655186822138846, -0.021825682801390016]
[0.06940988451756172, -0.02876625895187565]
[0.08604997922823576, -0.0015419941240376635]
[0.03684418574240511, -0.0486481961230214]
[-0.019345731445370884, 0.034329924979308174]
[0.010837314742190962, -0.00747701690874869]
[-0.0024872850411390424, -0.035170863187518345]
[0.031116407725019002, 0.057553442221513595]
[0.00543336345407841, -0.0004266667360225407]
[0.046334601820937404, -0.0035014123580185963]
